config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s
s1000_g1e2,192,81997754, -ksp_type tfqmr -pc_type asm ,KSPSolve,3,3.1,1.03E+00,1.69E+10,1.20E+07,2.30E+03,1.30E+04,99804
s1000_g1e2,192,80361465, -ksp_type bcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,2.4,8.00E-01,1.32E+10,1.40E+07,3.30E+03,1.30E+04,100414
s1000_g1e2,192,8520536, -ksp_type bcgs -pc_type jacobi ,KSPSolve,3,3.8,1.27E+00,2.46E+10,1.60E+07,2.30E+03,4.60E+04,121469
s1000_g1e2,192,1216556, -ksp_type ibcgs -pc_type jacobi ,KSPSolve,3,1.3,4.33E-01,3.19E+10,1.90E+07,2.30E+03,2.70E+04,434301
s1000_g1e2,192,53302993, -ksp_type tfqmr -pc_type bjacobi ,KSPSolve,3,3.9,1.30E+00,2.35E+10,8.80E+06,2.30E+03,1.90E+04,111267
s1000_g1e2,192,91036839, -ksp_type bcgs -pc_type bjacobi ,KSPSolve,3,2.5,8.33E-01,1.54E+10,5.90E+06,2.30E+03,1.60E+04,115299
s1000_g1e2,192,30870723, -ksp_type gmres -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,7.9,2.63E+00,5.46E+10,2.50E+07,2.30E+03,3.50E+04,130079
s1000_g1e2,192,30870722, -ksp_type gmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,8.8,2.93E+00,6.39E+10,1.50E+07,2.30E+03,4.20E+04,136323
s1000_g1e2,192,30870721, -ksp_type gmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,8.2,2.73E+00,5.72E+10,3.80E+07,3.20E+03,3.60E+04,130855
s1000_g1e2,192,30870720, -ksp_type gmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,8.2,2.73E+00,5.75E+10,3.90E+07,2.40E+03,3.60E+04,131898
s1000_g1e2,192,75830645, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,2.6,8.67E-01,1.48E+10,1.50E+07,3.30E+03,7.00E+03,103648
s1000_g1e2,192,75830644, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,2.3,7.67E-01,1.32E+10,1.30E+07,2.40E+03,6.40E+03,104518
s1000_g1e2,192,75830647, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,8.6,2.87E+00,1.58E+10,1.10E+07,2.30E+03,7.80E+03,345091
s1000_g1e2,192,75830646, -ksp_type ibcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,3.3,1.10E+00,1.93E+10,6.90E+06,2.30E+03,9.80E+03,108889
s1000_g1e2,192,45869640, -ksp_type fgmres -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,6.6,2.20E+00,4.70E+10,2.20E+07,2.30E+03,3.10E+04,132859
s1000_g1e2,1,91036839, -ksp_type bcgs -pc_type bjacobi ,KSPSolve,3,1.3,4.33E-01,2.35E+12,0.00E+00,0.00E+00,0.00E+00,1802
s1000_g1e2,1,80361466, -ksp_type bcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,1.3,4.33E-01,2.35E+12,0.00E+00,0.00E+00,0.00E+00,1698
s1000_g1e2,1,80361467, -ksp_type bcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,1.4,4.67E-01,2.35E+12,0.00E+00,0.00E+00,0.00E+00,1654
s1000_g1e2,1,80361464, -ksp_type bcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,1.4,4.67E-01,2.35E+12,0.00E+00,0.00E+00,0.00E+00,1647
s1000_g1e2,1,80361465, -ksp_type bcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,1.3,4.33E-01,2.35E+12,0.00E+00,0.00E+00,0.00E+00,1686
s1000_g1e2,1536,11256942, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,2.3,7.67E-01,2.49E+09,6.20E+07,8.30E+02,1.60E+04,1589445
s1000_g1e2,1536,11256943, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 3 ,KSPSolve,4,4.6,1.15E+00,4.13E+09,2.50E+08,1.20E+03,2.10E+04,1323596
s1000_g1e2,1536,11256941, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,2.7,9.00E-01,2.39E+09,1.10E+08,8.40E+02,1.40E+04,1295998
s1000_g1e2,1536,42851841, -ksp_type gmres -pc_type bjacobi ,KSPSolve,3,6.1,2.03E+00,8.50E+09,1.30E+08,8.30E+02,4.40E+04,2048515
s1000_g1e2,1536,11256944, -ksp_type tfqmr -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,4,1.33E+00,2.64E+09,1.70E+08,8.60E+02,1.50E+04,963046
s1000_g1e2,1536,80361464, -ksp_type bcgs -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,2.2,7.33E-01,1.97E+09,1.30E+08,8.60E+02,1.50E+04,1284275
s1000_g1e2,1536,45869639, -ksp_type fgmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,9.6,3.20E+00,8.51E+09,1.30E+08,8.30E+02,4.40E+04,1315846
s1000_g1e2,1536,45869638, -ksp_type fgmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,7.2,2.40E+00,6.89E+09,2.80E+08,1.20E+03,3.20E+04,1417097
s1000_g1e2,1536,45869637, -ksp_type fgmres -pc_type asm -pc_asm_overlap 2 ,KSPSolve,3,9.4,3.13E+00,7.68E+09,3.30E+08,8.50E+02,3.70E+04,1205974
s1000_g1e2,1536,36482981, -ksp_type fgmres -pc_type asm ,KSPSolve,3,6.8,2.27E+00,6.82E+09,2.00E+08,8.40E+02,3.40E+04,1474670
s1000_g1e2,1536,18524981, -ksp_type ibcgs -pc_type bjacobi ,KSPSolve,3,2.6,8.67E-01,2.53E+09,6.10E+07,8.30E+02,1.00E+04,1412946
s1000_g1e2,1536,12321508, -ksp_type fgmres -pc_type bjacobi ,KSPSolve,3,6.2,2.07E+00,8.42E+09,1.30E+08,8.30E+02,4.40E+04,2000762
s1000_g1e2,1536,22479830, -ksp_type gmres -pc_type asm ,KSPSolve,3,8.5,2.83E+00,7.02E+09,2.10E+08,8.40E+02,3.50E+04,1218909
